"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","x","y","geometry"
"2063",0.9375,"XY",2023-11-02,2023,11,2024,"S83-015",904499.999998825,6240499.99999992,c(904499.999998825, 6240499.99999992)
"2066",0.895833313,"XY",2023-11-06,2023,11,2024,"S87-103",1004499.99999868,6340499.99999989,c(1004499.99999868, 6340499.99999989)
"2067",0.854166687,"XY",2023-11-07,2023,11,2024,"S78-030",969499.999998728,6395499.99999987,c(969499.999998728, 6395499.99999987)
"2068",1,"XX",2023-11-08,2023,11,2024,"S81-125",929499.999998788,6370499.99999987,c(929499.999998788, 6370499.99999987)
"2069",0.755208313,"XY",2023-11-08,2023,11,2024,"S74-001",934499.99999878,6370499.99999987,c(934499.99999878, 6370499.99999987)
"2070",0.859375,"XY",2023-11-08,2023,11,2024,"S74-001",928499.99999879,6374499.99999987,c(928499.99999879, 6374499.99999987)
"2072",0.994791687,"XX",2023-11-09,2023,11,2024,"S86-106",949499.999998758,6410499.99999986,c(949499.999998758, 6410499.99999986)
"2076",1,"XX",2023-11-12,2023,11,2024,"S74-007",1044499.99999862,6340499.99999989,c(1044499.99999862, 6340499.99999989)
"2077",0.604166687,"XY",2023-11-12,2023,11,2024,"S65-35",949499.999998758,6410499.99999986,c(949499.999998758, 6410499.99999986)
"2079",0.723958313,"XY",2023-11-13,2023,11,2024,"S86-035",924499.999998795,6395499.99999987,c(924499.999998795, 6395499.99999987)
"2080",0.864583313,"XY",2023-11-13,2023,11,2024,"S73-070",944499.999998766,6425499.99999985,c(944499.999998766, 6425499.99999985)
"2081",0.864583313,"XY",2023-11-14,2023,11,2024,"S86-037",909499.999998818,6370499.99999987,c(909499.999998818, 6370499.99999987)
"2082",1,"XX",2023-11-14,2023,11,2024,"S74-014",909499.999998818,6345499.99999988,c(909499.999998818, 6345499.99999988)
"2083",0.921875,"XX",2023-11-14,2023,11,2024,"S86-110",909499.999998818,6345499.99999988,c(909499.999998818, 6345499.99999988)
"2088",1,"XY",2023-11-17,2023,11,2024,"S65-35",948499.99999876,6414499.99999986,c(948499.99999876, 6414499.99999986)
"2089",0.802083313,"XX",2023-11-17,2023,11,2024,"S83-044",909499.999998818,6375499.99999987,c(909499.999998818, 6375499.99999987)
"2090",0.958333313,"XX",2023-11-17,2023,11,2024,"S83-044",909499.999998818,6375499.99999987,c(909499.999998818, 6375499.99999987)
"2092",0.973958313,"XX",2023-11-17,2023,11,2024,"S78-001",914499.99999881,6275499.99999991,c(914499.99999881, 6275499.99999991)
"2095",0.911458313,"XX",2023-11-20,2023,11,2024,"S80-061",874499.99999887,6380499.99999987,c(874499.99999887, 6380499.99999987)
"2096",0.989583313,"XX",2023-11-21,2023,11,2024,"S81-136",934499.99999878,6425499.99999985,c(934499.99999878, 6425499.99999985)
"2097",0.744791687,"XY",2023-11-21,2023,11,2024,"S83-024",889499.999998848,6300499.9999999,c(889499.999998848, 6300499.9999999)
"2098",1,"XX",2023-11-21,2023,11,2024,"S77-049",769499.999999027,6365499.99999988,c(769499.999999027, 6365499.99999988)
"2099",0.682291687,"XX",2023-11-22,2023,11,2024,"S86-002",989499.999998698,6475499.99999984,c(989499.999998698, 6475499.99999984)
"2100",0.895833313,"XY",2023-11-22,2023,11,2024,"S86-073",959499.999998743,6315499.99999989,c(959499.999998743, 6315499.99999989)
"2101",0.770833313,"XY",2023-11-22,2023,11,2024,"S81-113",959499.999998743,6315499.99999989,c(959499.999998743, 6315499.99999989)
"2102",0.536458313,"XY",2023-11-22,2023,11,2024,"S78-030",968499.99999873,6394499.99999987,c(968499.99999873, 6394499.99999987)
"2103",0.520833313,"XY",2023-11-22,2023,11,2024,"S86-133",989499.999998698,6475499.99999984,c(989499.999998698, 6475499.99999984)
"2104",0.541666687,"XY",2023-11-22,2023,11,2024,"S86-057",924499.999998795,6390499.99999987,c(924499.999998795, 6390499.99999987)
"2105",0.677083313,"XX",2023-11-23,2023,11,2024,"S77-027",914499.99999881,6355499.99999988,c(914499.99999881, 6355499.99999988)
"2107",0.989583313,"XY",2023-11-23,2023,11,2024,"S86-042",909499.999998818,6345499.99999988,c(909499.999998818, 6345499.99999988)
"2108",1,"XY",2023-11-23,2023,11,2024,"S86-118",934499.99999878,6420499.99999986,c(934499.99999878, 6420499.99999986)
"2109",1,"XY",2023-11-23,2023,11,2024,"S84-018",954499.999998751,6390499.99999987,c(954499.999998751, 6390499.99999987)
"2110",1,"XX",2023-11-24,2023,11,2024,"S83-017",899499.999998833,6240499.99999992,c(899499.999998833, 6240499.99999992)
"2112",1,"XX",2023-11-24,2023,11,2024,"S87-110",1004499.99999868,6350499.99999988,c(1004499.99999868, 6350499.99999988)
"2113",0.796875,"XX",2023-11-24,2023,11,2024,"S78-002",909499.999998818,6275499.99999991,c(909499.999998818, 6275499.99999991)
"2114",1,"XX",2023-11-24,2023,11,2024,"S86-075",909499.999998818,6275499.99999991,c(909499.999998818, 6275499.99999991)
"2115",1,"XX",2023-11-24,2023,11,2024,"S84-032",954499.999998751,6495499.99999983,c(954499.999998751, 6495499.99999983)
"2116",0.6875,"XX",2023-11-25,2023,11,2024,"S86-107",949499.999998758,6410499.99999986,c(949499.999998758, 6410499.99999986)
"2118",1,"XY",2023-11-26,2023,11,2024,"S83-024",873499.999998871,6304499.9999999,c(873499.999998871, 6304499.9999999)
"2120",0.598958313,"XX",2023-11-27,2023,11,2024,"S65-13",959499.999998743,6365499.99999988,c(959499.999998743, 6365499.99999988)
"2121",0.828125,"XY",2023-11-27,2023,11,2024,"S80-052",944499.999998766,6625499.99999978,c(944499.999998766, 6625499.99999978)
"2122",0.989583313,"XX",2023-11-27,2023,11,2024,"S86-017",959499.999998743,6365499.99999988,c(959499.999998743, 6365499.99999988)
"2124",0.958333313,"XX",2023-11-27,2023,11,2024,"S86-017",959499.999998743,6365499.99999988,c(959499.999998743, 6365499.99999988)
