"","date","Type","N°Ref","G+","G_session","G_sp","MODIF","GENOTYPE_TRANS","INDEX_CAL","SEQULG_ANTAGENE_DEF_SEXE","µsat_HMbrut_SEXE","Cause_mort","Age","date1","Year","mois","saisonyear","Id","SEXE","geometry","x","y"
"1",2024-11-01,"F","F0624183",TRUE,2025-05-26,"Canis lupus",FALSE,"S88-068",0.96875,"NI","XY",NA,NA,2024-11-01,2025,11,2025,"S88-068","NI",c(1024352.49984841, 6318001.64307065),1024352.49984841,6318001.64307065
"2",2024-11-01,"F","F8324203",TRUE,2025-04-07,"Canis lupus",FALSE,"S93-134",0.822916686534882,"M","XY",NA,NA,2024-11-01,2025,11,2025,"S93-134","M",c(1014352.49984841, 6273001.64307065),1014352.49984841,6273001.64307065
"3",2024-11-01,"F","F0424344",TRUE,2025-05-26,"Canis lupus",FALSE,"S94-061",0.744791686534882,"F","XX",NA,NA,2024-11-01,2025,11,2025,"S94-061","F",c(984352.499848407, 6348001.64307065),984352.499848407,6348001.64307065
"4",2024-11-01,"F","F2524066",TRUE,2025-02-10,"Canis lupus",FALSE,"S78-034",0.864583313465118,"M","XY",NA,NA,2024-11-01,2025,11,2025,"S78-034","M",c(954352.499848407, 6643001.64307065),954352.499848407,6643001.64307065
"5",2024-11-02,"F","F7424142",TRUE,2025-05-26,"Canis lupus",FALSE,"S88-104",0.958333313465118,"M","XY",NA,NA,2024-11-02,2025,11,2025,"S88-104","M",c(994352.499848407, 6543001.64307065),994352.499848407,6543001.64307065
"6",2024-11-02,"F","F8424121",TRUE,2025-05-26,"Canis lupus",FALSE,"S93-011",0.869791686534882,"M","XY",NA,NA,2024-11-02,2025,11,2025,"S93-011","M",c(889352.499848407, 6343001.64307065),889352.499848407,6343001.64307065
"7",2024-11-02,"F","F3824183",TRUE,2025-07-07,"Canis lupus",FALSE,"S87-077",1,"F","XX",NA,NA,2024-11-02,2025,11,2025,"S87-077","F",c(924352.499848407, 6408001.64307065),924352.499848407,6408001.64307065
"8",2024-11-02,"F","F2624220",TRUE,2025-04-07,"Canis lupus",FALSE,"S93-011",1,"M","XY",NA,NA,2024-11-02,2025,11,2025,"S93-011","M",c(890102.499848407, 6345001.64307065),890102.499848407,6345001.64307065
"9",2024-11-03,"F","F3824184",TRUE,2025-02-10,"Canis lupus",FALSE,"S87-078",1,"M","XY",NA,NA,2024-11-03,2025,11,2025,"S87-078","M",c(919352.499848407, 6413001.64307065),919352.499848407,6413001.64307065
"10",2024-11-04,"F","F3824186",TRUE,2025-02-10,"Canis lupus",FALSE,"S87-078",1,"M","XY",NA,NA,2024-11-04,2025,11,2025,"S87-078","M",c(925102.499848407, 6410001.64307065),925102.499848407,6410001.64307065
"11",2024-11-04,"F","F1924045",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-118",0.833333313465118,"M","XY",NA,NA,2024-11-04,2025,11,2025,"S92-118","M",c(624352.499848407, 6503001.64307065),624352.499848407,6503001.64307065
"12",2024-11-05,"F","F1324073",TRUE,2025-02-10,"Canis lupus",FALSE,"S87-076",0.822916686534882,"M","XY",NA,NA,2024-11-05,2025,11,2025,"S87-076","M",c(904352.499848407, 6258001.64307065),904352.499848407,6258001.64307065
"13",2024-11-05,"F","F7324164",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-126",0.8125,"F","XX",NA,NA,2024-11-05,2025,11,2025,"S92-126","F",c(974352.499848407, 6523001.64307065),974352.499848407,6523001.64307065
"14",2024-11-05,"F","F3824181",TRUE,2025-02-10,"Canis lupus",FALSE,"S80-013",0.9375,"F","XX",NA,NA,2024-11-05,2025,11,2025,"S80-013","F",c(934352.499848407, 6428001.64307065),934352.499848407,6428001.64307065
"15",2024-11-06,"F","F0624177",TRUE,2025-02-10,"Canis lupus",FALSE,"S87-049",0.958333313465118,"M","XY",NA,NA,2024-11-06,2025,11,2025,"S87-049","M",c(1054352.49984841, 6328001.64307065),1054352.49984841,6328001.64307065
"16",2024-11-06,"F","F8424166",TRUE,2025-07-07,"Canis lupus",FALSE,"S95-043",0.630208313465118,"F","XX",NA,NA,2024-11-06,2025,11,2025,"S95-043","F",c(899352.499848407, 6303001.64307065),899352.499848407,6303001.64307065
"17",2024-11-06,"F","F8424151",TRUE,2025-02-10,"Canis lupus",FALSE,"S84-043",0.989583313465118,"F","XX",NA,NA,2024-11-06,2025,11,2025,"S84-043","F",c(884352.499848407, 6343001.64307065),884352.499848407,6343001.64307065
